"Section SIS ID","SIS ID"
"18026","11375"
"18026","13953"
"18026","14031"
"18026","14070"
"18026","14139"
"18026","14438"
"18026","14984"
"18026","15146"
"18026","15317"
"18026","15730"
"18026","18862"
"18026","20763"
"18026","23757"
"18026","24026"
"18026","30385"
"18026","31398"
"18026","31783"
"18026","32817"
"18026","7332"
"18026","7892"
"18026","9920"
"18027","10891"
"18027","13852"
"18027","13992"
"18027","14043"
"18027","14049"
"18027","14078"
"18027","14132"
"18027","14173"
"18027","14338"
"18027","14376"
"18027","14414"
"18027","14491"
"18027","14542"
"18027","14922"
"18027","15035"
"18027","15127"
"18027","15317"
"18027","18754"
"18027","18960"
"18028","15319"
"18028","15601"
"18028","19121"
"18028","19832"
"18028","23802"
"18028","23868"
"18028","24035"
"18028","24302"
"18028","24376"
"18028","24455"
"18028","24811"
"18028","24859"
"18028","25024"
"18028","25171"
"18028","25186"
"18028","25209"
"18028","25256"
"18028","30965"
"18029","13801"
"18029","14031"
"18029","15508"
"18029","18942"
"18029","20763"
"18029","7332"
"18029","7475"
"18029","7892"
"18029","9592"
"18030","13895"
"18030","13929"
"18030","14182"
"18030","15130"
"18030","15191"
"18030","15543"
"18030","15597"
"18030","15645"
"18030","18453"
"18030","18561"
"18030","18571"
"18030","18648"
"18030","18652"
"18030","18995"
"18030","19287"
"18030","19379"
"18030","19610"
"18030","19951"
"18030","23989"
"18030","24074"
"18030","24217"
"18030","24376"
"18030","24413"
"18031","13853"
"18031","18534"
"18031","19798"
"18031","20568"
"18031","20627"
"18031","23716"
"18031","23878"
"18031","23991"
"18031","24021"
"18031","24074"
"18031","24263"
"18031","24390"
"18031","24419"
"18031","24548"
"18031","24601"
"18031","24635"
"18031","24756"
"18031","24804"
"18031","25102"
"18031","25124"
"18031","25207"
"18032","14260"
"18032","18897"
"18032","18998"
"18032","20513"
"18032","23795"
"18032","24546"
"18032","24688"
"18032","24734"
"18032","24961"
"18032","25389"
"18032","26280"
"18032","30065"
"18032","30247"
"18032","30469"
"18032","30632"
"18032","30732"
"18032","30811"
"18032","30900"
"18032","30986"
"18032","31129"
"18032","31237"
"18032","31502"
"18032","31505"
"18032","31743"
"18033","13923"
"18033","13978"
"18033","15493"
"18033","18462"
"18033","18762"
"18033","19268"
"18033","19852"
"18034","13794"
"18034","18855"
"18034","19992"
"18034","20615"
"18034","24131"
"18034","24134"
"18034","24826"
"18034","24827"
"18034","26295"
"18034","26417"
"18034","26624"
"18034","26706"
"18034","26761"
"18034","30091"
"18034","30287"
"18034","30543"
"18034","30758"
"18034","30792"
"18034","31038"
"18034","31078"
"18034","31262"
"18034","31340"
"18034","31411"
"18034","31690"
"18034","31709"
"18035","15870"
"18035","19747"
"18035","20798"
"18035","23828"
"18035","24027"
"18035","24076"
"18035","24095"
"18035","24597"
"18035","26232"
"18035","26252"
"18035","30116"
"18035","30337"
"18035","30425"
"18035","30449"
"18035","30483"
"18035","30690"
"18035","30739"
"18035","31186"
"18035","31286"
"18035","31341"
"18035","31368"
"18035","31420"
"18035","31616"
"18036","19760"
"18036","24327"
"18036","24786"
"18036","31243"
"18037","23834"
"18037","23876"
"18037","24018"
"18037","24124"
"18037","24308"
"18037","24434"
"18037","24609"
"18037","24611"
"18037","24752"
"18037","25052"
"18037","25307"
"18038","13889"
"18038","13925"
"18038","13929"
"18038","14287"
"18038","14478"
"18038","14953"
"18038","19815"
"18038","19898"
"18038","23888"
"18038","24169"
"18038","24230"
"18038","24404"
"18038","24506"
"18038","24558"
"18038","24796"
"18038","24859"
"18038","24891"
"18038","24931"
"18038","25008"
"18038","25269"
"18038","26731"
"18038","30689"
"18038","31118"
"18038","31614"
"18039","11443"
"18039","14004"
"18039","18526"
"18039","18696"
"18039","18829"
"18039","18917"
"18039","18947"
"18039","19959"
"18039","30218"
"18039","30342"
"18039","30488"
"18039","30594"
"18039","30764"
"18039","31007"
"18039","31079"
"18039","31130"
"18039","31194"
"18039","31306"
"18039","31317"
"18039","31376"
"18039","31405"
"18039","31716"
"18039","31762"
"18040","18541"
"18040","18653"
"18040","19996"
"18040","20161"
"18041","11026"
"18041","11314"
"18041","13892"
"18041","13901"
"18041","13955"
"18041","13996"
"18041","13998"
"18041","14071"
"18041","14103"
"18041","14121"
"18041","14134"
"18041","14171"
"18041","14180"
"18041","14183"
"18041","14193"
"18041","14196"
"18041","14237"
"18041","14256"
"18041","14258"
"18041","14259"
"18041","14315"
"18041","14436"
"18041","14480"
"18041","14510"
"18041","14513"
"18041","14938"
"18041","14951"
"18041","15094"
"18041","15151"
"18041","15251"
"18041","15256"
"18041","15293"
"18041","15350"
"18041","15421"
"18041","15485"
"18041","15550"
"18041","15790"
"18041","15886"
"18041","15912"
"18041","15966"
"18041","18442"
"18041","18465"
"18041","18481"
"18041","18484"
"18041","18489"
"18041","18494"
"18041","18504"
"18041","18518"
"18041","18551"
"18041","18560"
"18041","18595"
"18041","18637"
"18041","18722"
"18041","18747"
"18041","18803"
"18041","18831"
"18041","18866"
"18041","18926"
"18041","18950"
"18041","18984"
"18041","19051"
"18041","19061"
"18041","19126"
"18041","19139"
"18041","19158"
"18041","19249"
"18041","19261"
"18041","19262"
"18041","19330"
"18041","19356"
"18041","19420"
"18041","19444"
"18041","19461"
"18041","19464"
"18041","19732"
"18041","19795"
"18041","19820"
"18041","19928"
"18041","19953"
"18041","19968"
"18041","19995"
"18041","20042"
"18041","20192"
"18041","20240"
"18041","24037"
"18041","24101"
"18041","24243"
"18041","25078"
"18041","25198"
"18041","25220"
"18041","25318"
"18041","25694"
"18041","25976"
"18041","26620"
"18041","8429"
"18041","9217"
"18042","14170"
"18042","15035"
"18043","13817"
"18043","13825"
"18043","18427"
"18043","18668"
"18043","18707"
"18043","18916"
"18043","18941"
"18043","19065"
"18043","20354"
"18043","20443"
"18043","24100"
"18043","25124"
"18043","30313"
"18043","30465"
"18043","30488"
"18043","30559"
"18043","30868"
"18043","30971"
"18043","31223"
"18043","31484"
"18043","31523"
"18043","31544"
"18043","31735"
"18043","8370"
"18044","14335"
"18044","16014"
"18044","18472"
"18044","18978"
"18044","19257"
"18044","20128"
"18044","23994"
"18044","24083"
"18044","24199"
"18044","24304"
"18044","24376"
"18044","24411"
"18044","24582"
"18044","24591"
"18044","24859"
"18044","30249"
"18044","30875"
"18045","20325"
"18045","20573"
"18045","23813"
"18045","24389"
"18045","24608"
"18045","24746"
"18045","25194"
"18045","30411"
"18045","30457"
"18045","30922"
"18045","31081"
"18045","31133"
"18045","31216"
"18045","31427"
"18045","31452"
"18045","31628"
"18045","31672"
"18045","31817"
"18046","11496"
"18046","11880"
"18046","13837"
"18046","13921"
"18046","14112"
"18046","14366"
"18046","14387"
"18046","14508"
"18046","14958"
"18046","15097"
"18046","15105"
"18046","15227"
"18046","15486"
"18046","15754"
"18046","15897"
"18046","17746"
"18046","18639"
"18046","18704"
"18046","18788"
"18046","18798"
"18046","18800"
"18046","18930"
"18046","19001"
"18046","19044"
"18046","19248"
"18046","19731"
"18046","19830"
"18046","19924"
"18046","19968"
"18046","19991"
"18046","20125"
"18046","20373"
"18046","20443"
"18046","20608"
"18046","20751"
"18046","23741"
"18046","23773"
"18046","23775"
"18046","23796"
"18046","23806"
"18046","23818"
"18046","23819"
"18046","23827"
"18046","23884"
"18046","23899"
"18046","23948"
"18046","23996"
"18046","23997"
"18046","24004"
"18046","24070"
"18046","24075"
"18046","24172"
"18046","24316"
"18046","24319"
"18046","24465"
"18046","24474"
"18046","24519"
"18046","24562"
"18046","24633"
"18046","24856"
"18046","24877"
"18046","24887"
"18046","24948"
"18046","25022"
"18046","25025"
"18046","25034"
"18046","25048"
"18046","25056"
"18046","25059"
"18046","25074"
"18046","25098"
"18046","25176"
"18046","25199"
"18046","25202"
"18046","25272"
"18046","25317"
"18046","26053"
"18046","26230"
"18046","26380"
"18046","26392"
"18046","26474"
"18046","26699"
"18046","30242"
"18046","30448"
"18046","30581"
"18046","30598"
"18046","30615"
"18046","30652"
"18046","30667"
"18046","30871"
"18046","30914"
"18046","30923"
"18046","30977"
"18046","31092"
"18046","31245"
"18046","31253"
"18046","31257"
"18046","31265"
