"SIS ID","course_id","Section Name","Term StartDate","Term EndDate","created_at","restrict_enrollments_to_section_dates","nonxlist_course_id","sis_section_id","sis_course_id","integration_id","sis_import_id","School SIS ID"
"18229","20939","BIOMEDICAL INSTRUMENTATION DESIGN","","","2020-05-18T16:21:51Z","","","","ECE4023-A20-A01","","","1"
"18236","20940","AM LIT HIST CONTEMPORARY NOVEL","","","2020-05-18T16:21:54Z","","","","EN2271-A20-A01","","","1"
"18247","20942","INTRODUCTION TO STATIC SYSTEMS","","","2020-05-18T16:22:02Z","","","","ES2501-A20-A02","","","1"
"18232","20943","SEMICONDUCTOR DEVICES","","","2020-05-18T16:21:52Z","","","","ECE4999-A20-UG1","","","1"
"18238","20945","WORLD LITERATURES","","","2020-05-18T16:21:55Z","","","","EN2281-A20-A01","","","1"
"18252","20946","INTRODUCTION TO DYNAMIC SYSTEMS","","","2020-05-18T16:22:10Z","","","","ES2503-A20-A01","","","1"
"18217","20948","INTRODUCTORY MICROECONOMICS","","","2020-05-18T16:21:43Z","","","","ECON1110-A20-A01","","","1"
"18240","20949","SUPERNATURAL LITERATURES","","","2020-05-18T16:21:55Z","","","","EN3231-A20-A01","","","1"
"18251","20951","INTRODUCTION TO THERMODYNAMICS","","","2020-05-18T16:22:10Z","","","","ES3001-A20-A01","","","1"
"18231","20954","INTRODUCTION TO ENVIRONMENTAL STUDIES","","","2020-05-18T16:21:51Z","","","","ENV1100-A20-A01","","","1"
"18253","20955","INTRODUCTION TO THERMODYNAMICS","","","2020-05-18T16:22:11Z","","","","ES3001-A20-A02","","","1"
"18106","20956","AC01","","","2020-05-18T16:20:36Z","","20932","","CH1010-A20-AX01","","","1"
"18108","20956","AC02","","","2020-05-18T16:20:37Z","","20933","","CH1010-A20-AX01","","","1"
"18112","20956","AC03","","","2020-05-18T16:20:38Z","","20935","","CH1010-A20-AX01","","","1"
"18115","20956","AC04","","","2020-05-18T16:20:39Z","","20938","","CH1010-A20-AX01","","","1"
"18119","20956","AC05","","","2020-05-18T16:20:40Z","","20941","","CH1010-A20-AX01","","","1"
"18122","20956","AC06","","","2020-05-18T16:20:41Z","","20944","","CH1010-A20-AX01","","","1"
"18124","20956","AC07","","","2020-05-18T16:20:41Z","","20947","","CH1010-A20-AX01","","","1"
"18127","20956","AC08","","","2020-05-18T16:20:42Z","","20950","","CH1010-A20-AX01","","","1"
"18130","20956","AC09","","","2020-05-18T16:20:42Z","","20953","","CH1010-A20-AX01","","","1"
"18134","20956","AX01","","","2020-05-18T16:20:43Z","","","","CH1010-A20-AX01","","","1"
"18135","20956","AX02","","","2020-05-18T16:20:43Z","","20958","","CH1010-A20-AX01","","","1"
"18109","20956","AX03","","","2020-05-18T16:20:37Z","","20961","","CH1010-A20-AX01","","","1"
"18111","20956","AX04","","","2020-05-18T16:20:38Z","","20976","","CH1010-A20-AX01","","","1"
"18114","20956","AX05","","","2020-05-18T16:20:39Z","","20982","","CH1010-A20-AX01","","","1"
